nflId,displayName_x,position,totalTackles,pff_missedTackle,assists,displayName_y,club,side,within_1_yard,within_3_yards,within_5_yards,totalPlays,tackle_contribution_rate
46091,Rashaan Evans,ILB,45,6,39,Rashaan Evans,ATL,Defense,96,70,90,355,0.16470588235294117
46304,Zaire Franklin,OLB,55,12,28,Zaire Franklin,IND,Defense,83,65,83,335,0.1625
43325,Myles Jack,ILB,41,6,26,Myles Jack,PIT,Defense,67,48,63,278,0.147239263803681
42388,Eric Kendricks,ILB,41,10,24,Eric Kendricks,MIN,Defense,66,52,72,291,0.15160349854227406
41243,C.J. Mosley,ILB,55,8,32,C.J. Mosley,NYJ,Defense,66,71,70,313,0.18489583333333334
54492,Devin Lloyd,ILB,34,12,32,Devin Lloyd,JAX,Defense,66,69,78,314,0.1801566579634465
44888,Alex Anzalone,ILB,37,4,24,Alex Anzalone,DET,Defense,64,56,78,286,0.16374269005847952
47913,Drue Tranquill,ILB,43,13,20,Drue Tranquill,LAC,Defense,63,41,68,262,0.1353135313531353
48516,T.J. Edwards,ILB,49,8,25,T.J. Edwards,PHI,Defense,63,53,63,269,0.16459627329192547
45345,Nicholas Morrow,OLB,40,10,19,Nicholas Morrow,CHI,Defense,63,61,81,312,0.16353887399463807
46139,Fred Warner,ILB,33,3,21,Fred Warner,SF,Defense,63,53,52,249,0.17549668874172186
46077,Roquan Smith,ILB,50,7,32,Roquan Smith,CHI,Defense,63,57,72,293,0.16285714285714287
46085,Tremaine Edmunds,ILB,39,5,23,Tremaine Edmunds,BUF,Defense,63,47,58,240,0.16376306620209058
43404,De'Vondre Campbell,ILB,37,9,26,De'Vondre Campbell,GB,Defense,62,44,68,263,0.14332247557003258
42427,Jordan Hicks,ILB,54,5,20,Jordan Hicks,MIN,Defense,62,40,66,261,0.132890365448505
44848,Budda Baker,SS,44,11,26,Budda Baker,ARI,Defense,62,50,84,332,0.13089005235602094
46269,Foyesade Oluokun,ILB,59,11,26,Foyesade Oluokun,JAX,Defense,62,69,76,323,0.1760204081632653
52527,Mykal Walker,ILB,43,7,25,Mykal Walker,ATL,Defense,61,61,76,307,0.16576086956521738
53489,Pete Werner,OLB,51,8,22,Pete Werner,NO,Defense,60,51,62,266,0.1608832807570978
47855,Germaine Pratt,OLB,26,7,31,Germaine Pratt,CIN,Defense,60,43,48,223,0.16165413533834586
46088,Leighton Vander Esch,OLB,34,3,25,Leighton Vander Esch,DAL,Defense,60,55,64,265,0.171875
47788,Devin White,ILB,36,6,27,Devin White,TB,Defense,59,55,86,325,0.14473684210526316
53487,Nick Bolton,ILB,46,2,23,Nick Bolton,KC,Defense,58,54,63,283,0.16023738872403562
53445,Zaven Collins,OLB,39,13,24,Zaven Collins,ARI,Defense,58,58,82,324,0.1518324607329843
53448,Jamin Davis,OLB,30,7,13,Jamin Davis,WAS,Defense,57,40,60,242,0.14184397163120568
38577,Bobby Wagner,ILB,40,1,23,Bobby Wagner,LA,Defense,57,51,75,284,0.15223880597014924
46188,Kyzir White,ILB,30,7,23,Kyzir White,PHI,Defense,56,36,47,203,0.1506276150627615
54502,Jalen Pitre,FS,34,19,20,Jalen Pitre,HOU,Defense,56,47,81,270,0.14826498422712933
47872,Bobby Okereke,ILB,48,4,23,Bobby Okereke,IND,Defense,55,64,67,283,0.1844380403458213
47956,Cole Holcomb,ILB,38,4,32,Cole Holcomb,WAS,Defense,55,46,59,232,0.16546762589928057
54487,Quay Walker,ILB,35,5,22,Quay Walker,GB,Defense,55,41,49,236,0.148014440433213
47871,Cody Barton,MLB,34,3,22,Cody Barton,SEA,Defense,55,44,49,234,0.15827338129496402
41300,Christian Kirksey,OLB,34,6,20,Christian Kirksey,HOU,Defense,55,54,71,274,0.16463414634146342
46086,Derwin James,FS,37,5,30,Derwin James,LAC,Defense,55,52,64,285,0.1543026706231454
52435,Jordyn Brooks,ILB,61,10,23,Jordyn Brooks,SEA,Defense,55,64,82,323,0.165374677002584
52436,Patrick Queen,ILB,39,9,14,Patrick Queen,BAL,Defense,54,60,63,273,0.18018018018018017
53509,Divine Deablo,OLB,39,7,34,Divine Deablo,LV,Defense,53,55,58,267,0.17080745341614906
46212,Ja'Whaun Bentley,ILB,18,2,31,Ja'Whaun Bentley,NE,Defense,52,47,57,229,0.17028985507246377
38607,Demario Davis,MLB,25,6,18,Demario Davis,NO,Defense,51,52,84,309,0.1440443213296399
42368,Shaq Thompson,ILB,38,9,28,Shaq Thompson,CAR,Defense,51,76,69,312,0.1958762886597938
43503,Elandon Roberts,ILB,25,9,26,Elandon Roberts,MIA,Defense,51,52,53,210,0.1984732824427481
47891,Julian Love,SS,31,3,23,Julian Love,NYG,Defense,50,37,61,235,0.13602941176470587
52473,Logan Wilson,ILB,35,2,16,Logan Wilson,CIN,Defense,50,46,63,274,0.14375
52431,Kenneth Murray,ILB,27,5,10,Kenneth Murray,LAC,Defense,48,30,52,193,0.13452914798206278
49410,Jalen Thompson,FS,43,2,13,Jalen Thompson,ARI,Defense,48,54,90,335,0.13881748071979436
